Billing Country/Territory,Invoice Type,Settlement Type,Bill to Account Number,Government Number,FedEx Invoice Number,Invoice Date,Due Date,Bill to Currency,Total Standard Charges,Total Discounts,Total Surcharges,Total Taxes,Original Amount Due,Alternate Currency,Alternate Currency Exchange Rate,Air Waybill Number,Bill To,Shipper Reference 1,Shipper Reference 2,Shipper Reference 3,POD Date,POD Time,POD Name,Ship Date (formatted),Ship Date,Tendered Date,Service,Packaging,SvcPkg Label,Origin Station,Destination Station,Pieces,Actual Weight,Actual Weight Units,Meter Number,Child Account Number,Master Air Waybill Number,Sender Company Name,Sender Contact Name,Sender Address Line 1,Sender Address Line 2,Sender Address Line 3,Sender Address City,Sender Address State,Sender Address Postal,Sender Address Country/Territory,Recipient Company Name,Recipient Contact Name,Recipient Address Line 1,Recipient Address Line 2,Recipient Address Line 3,Recipient Address City,Recipient Address State,Recipient Address Postal,Recipient Address Country/Territory,MPS Package Tracking ID,Dim Length,Dim Width,Dim Height,Dim Divisor,Dim Unit,Rated Weight Amount,Rated Weight Units,Zone Code,Air Waybill Total Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,169.80,,,,2186.15,,,195490277298,Shipper,,,,,,,3/27/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,12.2,KG,,,,Overeem & Berends,Stef Bos-Brisee,Morrisring 0,,,Leersum,,7325BG,NL,Brand Loyalty Group,Stan Manne,Michelleboulevard 705,,,Nigtevecht,,6717AU,NL,,,,,,,12.2,KG,5,169.80,Transportation Charge,116.00,Declared Value Charge,4.55,Fuel Surcharge,27.48,Saturday Delivery,21.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,13.16,,,,2186.15,,,817282642525,Shipper,,,,,,,3/19/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,10.5,KG,,,,Stichting van der Klijn,Nick Ariens Ansems,Seppad 426,,,Aalsmeerderbrug,,4692LX,NL,Stichting de Kale,Dina 's Gravensande,Beratboulevard 62,,,Middenbeemster,,4344 XL,NL,,,,,,,10.5,KG,4,13.16,Declared Value Charge,4.45,Remote Area Surcharge,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,196.18,,,,2186.15,,,112456901919,Shipper,,,,,,,3/12/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,9.1,KG,,,,Royal Mansveld,Laura van Wijk,Daniëlsingel 6,,,Dongen,,3077 MO,NL,Koninklijke Persijn,Mustafa Fortuyn,Florissteeg 408,,,Gameren,,4353 QI,NL,,,,,,,9.1,KG,5,196.18,Saturday Delivery,21.26,Additional Handling Charge,14.05,Declared Value Charge,5.64,Transportation Charge,155.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,40.19,,,,2186.15,,,892354770286,Shipper,,,,,,,3/26/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,2.0,KG,,,,Muller BV,David van Rossum,Ivylaan 29,,,Maasvlakte Rotterdam,,5727MH,NL,Kamper & Pison,Beau Cant-van 't Wel,Dewiboulevard 17,,,Velserbroek,,3207 SE,NL,,,,,,,2.0,KG,6,40.19,Remote Area Surcharge,11.11,Additional Handling Charge,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,13.48,,,,2186.15,,,626985189651,Shipper,,,,,,,3/16/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,22.0,KG,,,,Bosch Rexroth,Rowan van den Nuwenhuijzen-van den Pol,Daniquesingel 853,,,Oploo,,5995 YP,NL,Kuehne + Nagel Logistics,Olaf Cosman,Daphnedreef 96,,,Sluiskil,,2691DU,NL,,,,,,,22.0,KG,5,13.48,Declared Value Charge,4.96,Remote Area Surcharge,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,36.77,,,,2186.15,,,503025734042,Shipper,,,,,,,3/20/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,3.3,KG,,,,Royal Gruijl,Noud van der Kint,Isabelpad 913,,,Goedereede,,5620 TZ,NL,Adecco,Daan van Leeuwen,Verasingel 4,,,Jorwert,,4634DK,NL,,,,,,,3.3,KG,3,36.77,Fuel Surcharge,16.30,Saturday Delivery,20.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,27.95,,,,2186.15,,,854654328798,Shipper,,,,,,,3/28/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,16.9,KG,,,,Charon Groep,Lizz de Wit,Ecrinpad 0,,,Sint Jansklooster,,5277 LP,NL,Ewals Cargo Care,Xavi van der Leek-Keijzer,Lotteboulevard 999,,,Foxhol,,1838BY,NL,,,,,,,16.9,KG,5,27.95,Duty and Tax Forwarding Charge,14.12,Fuel Surcharge,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,56.50,,,,2186.15,,,287294979550,Shipper,,,,,,,3/6/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,24.3,KG,,,,DSM,Owen Adriaense,Fleurboulevard 391,,,Ridderkerk,,9988OJ,NL,Koninklijke Gnodde,Beau Höning,Juliansteeg 6,,,Neeritter,,2035 ZK,NL,,,,,,,24.3,KG,5,56.50,Declared Value Charge,11.44,Saturday Delivery,17.25,Additional Handling Charge,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,245.69,,,,2186.15,,,887148718640,Shipper,,,,,,,3/6/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,11.8,KG,,,,van Gorp & Molegraaf,Johanna Mulder,Yasminpad 325,,,Noordgouwe,,3805 JV,NL,Koninklijke Labado,Pien van Nederlotharingen,Lukapad 340,,,Winterswijk Kotten,,4619OI,NL,,,,,,,11.8,KG,3,245.69,Transportation Charge,229.45,Duty and Tax Forwarding Charge,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,246.56,,,,2186.15,,,892739133054,Shipper,,,,,,,3/20/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,22.3,KG,,,,Hoelen BV,Jet Coret-Coredo,Meganstraat 062,,,Klaaswaal,,6068MV,NL,Schrik & Sprong,Ninthe Stichter,Jortboulevard 7,,,Oldekerk,,7228PW,NL,,,,,,,22.3,KG,4,246.56,Fuel Surcharge,15.06,Duty and Tax Forwarding Charge,16.46,Transportation Charge,215.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,21.63,,,,2186.15,,,028513581739,Shipper,,,,,,,3/17/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,18.9,KG,,,,Koninklijke Haack,Philip Verda,Nikkihof 146,,,Lijnden,,9621FB,NL,Koninklijke Zijlemans,Anne van Ginneke,Pieterdreef 0,,,Oud-Beijerland,,7739CN,NL,,,,,,,18.9,KG,3,21.63,Declared Value Charge,2.18,Saturday Delivery,19.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Shipment,Regular,356852610,,7498149759,31-Mar-2026,14-Apr-2026,EUR,38.51,,,,2186.15,,,891405212927,Shipper,,,,,,,3/21/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,2.1,KG,,,,van Hamaland & Hexspoor,Bibi Arens,Rosabaan 787,,,Dijken,,5165IW,NL,Vleesgroothandel Zandbergen,Simon Schulten,Jurrestraat 637,,,Wijngaarden,,1480AO,NL,,,,,,,2.1,KG,3,38.51,Declared Value Charge,11.26,Duty and Tax Forwarding Charge,15.68,Remote Area Surcharge,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
