Billing Country/Territory,Invoice Type,Settlement Type,Bill to Account Number,Government Number,FedEx Invoice Number,Invoice Date,Due Date,Bill to Currency,Total Standard Charges,Total Discounts,Total Surcharges,Total Taxes,Original Amount Due,Alternate Currency,Alternate Currency Exchange Rate,Air Waybill Number,Bill To,Shipper Reference 1,Shipper Reference 2,Shipper Reference 3,POD Date,POD Time,POD Name,Ship Date (formatted),Ship Date,Tendered Date,Service,Packaging,SvcPkg Label,Origin Station,Destination Station,Pieces,Actual Weight,Actual Weight Units,Meter Number,Child Account Number,Master Air Waybill Number,Sender Company Name,Sender Contact Name,Sender Address Line 1,Sender Address Line 2,Sender Address Line 3,Sender Address City,Sender Address State,Sender Address Postal,Sender Address Country/Territory,Recipient Company Name,Recipient Contact Name,Recipient Address Line 1,Recipient Address Line 2,Recipient Address Line 3,Recipient Address City,Recipient Address State,Recipient Address Postal,Recipient Address Country/Territory,MPS Package Tracking ID,Dim Length,Dim Width,Dim Height,Dim Divisor,Dim Unit,Rated Weight Amount,Rated Weight Units,Zone Code,Air Waybill Total Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount,Air Waybill Charge Label,Air Waybill Charge Amount
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,115.96,,,,1795.73,,,041659507496,Shipper,,,,,,,3/12/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,20.8,KG,,,,Phillips-Dixon,Janice Thompson,25 Dennis Port,,,Lake Terence,,BT7 6ER,GB,Baxter-Andrews,Matthew Newman-Finch,980 Mathew Locks,,,East Hazel,,CH84 8FX,GB,,,,,,,20.8,KG,5,115.96,Transportation Charge,78.47,Declared Value Charge,2.78,Fuel Surcharge,22.46,Remote Area Surcharge,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,208.24,,,,1795.73,,,132424231425,Shipper,,,,,,,3/24/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,20.9,KG,,,,"Clarke, Thompson and Burgess",Robin Martin-Smith,7 Sian Haven,,,New Leon,,W2 4ZE,GB,"Bentley, Anderson and Hayes",Janet Barton,Flat 91 Megan Station,,,Aaronton,,CO73 4NG,GB,,,,,,,20.9,KG,5,208.24,Declared Value Charge,5.74,Transportation Charge,193.17,Remote Area Surcharge,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,37.89,,,,1795.73,,,859070554616,Shipper,,,,,,,3/16/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,13.8,KG,,,,"Lewis, Singh and Palmer",Donald Ellis,Studio 95 Palmer Plains,,,Lake Darrenchester,,WA6W 8GG,GB,Williams Inc,Russell Murphy,0 Wright Coves,,,Skinnermouth,,PE1X 2SS,GB,,,,,,,13.8,KG,4,37.89,Duty and Tax Forwarding Charge,16.73,Fuel Surcharge,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,35.31,,,,1795.73,,,190240322959,Shipper,,,,,,,3/15/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,8.7,KG,,,,Macdonald-Wood,Linda Harris,Studio 5 Powell Trail,,,Patelbury,,E6W 4JT,GB,"Butler, Sharp and Moore",Donna Jackson,Studio 09K Jill Fall,,,New Dannyville,,W6 7UL,GB,,,,,,,8.7,KG,5,35.31,Remote Area Surcharge,13.47,Saturday Delivery,21.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,120.80,,,,1795.73,,,717609821361,Shipper,,,,,,,3/22/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,20.5,KG,,,,"Fisher, Robson and Robinson",Harry Porter,Studio 32Y Tina Port,,,North Maria,,B66 0RF,GB,Fitzgerald Ltd,Ashleigh Thomas,916 Marie Unions,,,North Barry,,FK1 6HX,GB,,,,,,,20.5,KG,3,120.80,Additional Handling Charge,18.17,Transportation Charge,79.20,Duty and Tax Forwarding Charge,10.57,Fuel Surcharge,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,264.36,,,,1795.73,,,814312201608,Shipper,,,,,,,3/21/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,8.3,KG,,,,Benson LLC,Dr Zoe Palmer,463 Katie Forge,,,Rebeccastad,,DL2 5RX,GB,Lynch-Pearson,Shannon Bray,Flat 62G Lindsey Road,,,West Leigh,,EH4A 6DZ,GB,,,,,,,8.3,KG,5,264.36,Transportation Charge,214.96,Duty and Tax Forwarding Charge,17.99,Remote Area Surcharge,13.28,Saturday Delivery,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,107.47,,,,1795.73,,,408308643108,Shipper,,,,,,,3/14/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,5.0,KG,,,,George-Wright,Frances Ashton,5 West Station,,,South Antonyview,,B6 3PR,GB,Little-Woods,Derek Knight-Mason,Flat 3 Oliver Park,,,Jayneton,,G86 5PR,GB,,,,,,,5.0,KG,2,107.47,Transportation Charge,80.93,Declared Value Charge,5.36,Saturday Delivery,21.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,26.97,,,,1795.73,,,232735121303,Shipper,,,,,,,3/28/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,3.7,KG,,,,Watkins-Kelly,Susan Morris,469 Fisher Loop,,,North Kim,,E6S 0TP,GB,Parsons-Akhtar,Miss Marian Rogers,617 Marilyn Lane,,,Richardsmouth,,B3 1YL,GB,,,,,,,3.7,KG,2,26.97,Fuel Surcharge,7.25,Additional Handling Charge,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,34.96,,,,1795.73,,,229338555634,Shipper,,,,,,,3/28/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,24.3,KG,,,,"Jones, Jones and McKenzie",Mrs Danielle Gray,216 Smith Track,,,Port Lawrencemouth,,EX39 3TX,GB,Grant Group,Wendy Dawson,Flat 8 Smith Crest,,,East Tonyville,,DY0 3XZ,GB,,,,,,,24.3,KG,5,34.96,Additional Handling Charge,28.27,Duty and Tax Forwarding Charge,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,208.32,,,,1795.73,,,498929600351,Shipper,,,,,,,3/28/2026,3/1/2026,3/1/2026,FedEx International Priority Express,FedEx Envelope,,,,1,10.2,KG,,,,Russell Ltd,Joanna Nicholson,756 West Station,,,Hilltown,,B59 6QS,GB,Payne-Smith,Connor Hughes,Studio 77d Jodie Ferry,,,Annehaven,,S3 7SY,GB,,,,,,,10.2,KG,6,208.32,Remote Area Surcharge,12.62,Transportation Charge,182.65,Declared Value Charge,4.05,Fuel Surcharge,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,38.05,,,,1795.73,,,960499099929,Shipper,,,,,,,3/19/2026,3/1/2026,3/1/2026,FedEx International Economy,FedEx Envelope,,,,1,19.6,KG,,,,Johnson-Randall,Mr Clifford Taylor,777 Hamilton Haven,,,Julianland,,B9F 3DW,GB,Collins-Sanderson,Dr Charles Rogers,513 Frank Ford,,,New Simon,,SK9V 5YS,GB,,,,,,,19.6,KG,5,38.05,Additional Handling Charge,24.78,Remote Area Surcharge,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Shipment,Regular,196946120,,2684030563,31-Mar-2026,14-Apr-2026,GBP,32.29,,,,1795.73,,,285412108479,Shipper,,,,,,,3/28/2026,3/1/2026,3/1/2026,FedEx International Priority,FedEx Envelope,,,,1,17.9,KG,,,,"Young, James and Robson",Justin Doherty,Studio 70Q Sian Parkway,,,Barkerberg,,GL78 8AZ,GB,Morgan-Palmer,Jacqueline Lawrence,Studio 3 Perkins Ridge,,,North Angela,,G75 4DG,GB,,,,,,,17.9,KG,5,32.29,Duty and Tax Forwarding Charge,8.88,Additional Handling Charge,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
