Consolidated Account Number,Bill to Account Number,Invoice Date,Invoice Number,Store ID,Original Amount Due,Current Balance,Payor,Ground Tracking ID Prefix,Express or Ground Tracking ID,Transportation Charge Amount,Net Charge Amount,Service Type,Ground Service,Shipment Date,POD Delivery Date,POD Delivery Time,POD Service Area Code,POD Signature Description,Actual Weight Amount,Actual Weight Units,Rated Weight Amount,Rated Weight Units,Number of Pieces,Bundle Number,Meter Number,TDMasterTrackingID,Service Packaging,Dim Length,Dim Width,Dim Height,Dim Divisor,Dim Unit,Recipient Name,Recipient Company,Recipient Address Line 1,Recipient Address Line 2,Recipient City,Recipient State,Recipient Zip Code,Recipient Country/Territory,Shipper Company,Shipper Name,Shipper Address Line 1,Shipper Address Line 2,Shipper City,Shipper State,Shipper Zip Code,Shipper Country/Territory,Original Customer Reference,Original Ref#2,Original Ref#3/PO Number,Original Department Reference Description,Updated Customer Reference,Updated Ref#2,Updated Ref#3/PO Number,Updated Department Reference Description,RMA#,Original Recipient Address Line 1,Original Recipient Address Line 2,Original Recipient City,Original Recipient State,Original Recipient Zip Code,Original Recipient Country/Territory,Zone Code,Cost Allocation,Alternate Address Line 1,Alternate Address Line 2,Alternate City,Alternate State Province,Alternate Zip Code,Alternate Country/Territory Code,CrossRefTrackingID Prefix,CrossRefTrackingID,Entry Date,Entry Number,Customs Value,Customs Value Currency Code,Declared Value,Declared Value Currency Code,Commodity Description,Commodity Country/Territory Code,Commodity Description,Commodity Country/Territory Code,Commodity Description,Commodity Country/Territory Code,Commodity Description,Commodity Country/Territory Code,Currency Conversion Date,Currency Conversion Rate,Multiweight Number,Multiweight Total Multiweight Units,Multiweight Total Multiweight Weight,Multiweight Total Shipment Charge Amount,Multiweight Total Shipment Weight,Ground Tracking ID Address Correction Discount Charge Amount,Ground Tracking ID Address Correction Gross Charge Amount,Rated Method,Sort Hub,Estimated Weight,Estimated Weight Unit,Postal Class,Process Category,Package Size,Delivery Confirmation,Tendered Date,MPS Package ID,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Tracking ID Charge Description,Tracking ID Charge Amount,Shipment Notes
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,659507496384,145.66,152.78,FedEx Ground,,3/20/2026,,,,,9.9,LB,9.9,LB,1,,,,FEDEX ENVELOPE,,,,,,Jackson Fuentes,"Morgan, Fry and Gonzalez",1716 Olivia Summit,,Lake Troymouth,PR,19735,US,Kent LLC,Lynn Townsend,08536 Angel Valleys Apt. 362,,Josephview,LA,28487,US,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation Charge,145.66,Signature Service,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,132424231425,,37.79,FedEx 2Day,,3/13/2026,,,,,11.6,LB,11.6,LB,1,,,,FEDEX ENVELOPE,,,,,,Christopher Smith,Mcgrath Inc,048 Briana Tunnel Apt. 727,,Carolbury,CA,99199,US,"Peters, Schneider and Nelson",Crystal Stuart,61840 Kayla Stravenue,,Harrisbury,IL,87156,US,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Delivery,5.77,Fuel Surcharge,13.63,Address Correction,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,671714456685,144.79,171.70,FedEx 2Day,,3/5/2026,,,,,28.8,LB,28.8,LB,1,,,,FEDEX ENVELOPE,,,,,,Nicole Reynolds,"Nicholson, White and Mcdonald",69879 Mitchell Run Apt. 066,,New Jack,GA,79810,US,Fisher PLC,Jennifer Thomas,178 Rosales Station,,South Davidfort,IA,99648,US,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation Charge,144.79,Fuel Surcharge,16.11,Residential Delivery,5.79,Signature Service,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,979123610999,165.51,173.08,FedEx Express Saver,,3/24/2026,,,,,31.7,LB,31.7,LB,1,,,,FEDEX ENVELOPE,,,,,,Sarah Barron,Jordan-Smith,29775 Fernandez Trail Suite 643,,South Maryborough,ME,32399,US,Silva-Durham,Joy Gates,08599 Teresa Ferry,,Leahshire,CA,90417,US,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation Charge,165.51,Signature Service,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,213616825412,,10.49,FedEx Express Saver,,3/9/2026,,,,,15.6,LB,15.6,LB,1,,,,FEDEX ENVELOPE,,,,,,John Charles,Perkins-Wright,263 Latasha Street,,North Abigail,SC,87226,US,"Chandler, Bartlett and Mckay",Dylan Barajas,990 Sarah Bypass,,Danieltown,NV,51706,US,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Surcharge,6.04,Delivery Area Surcharge,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,938072069833,,25.65,FedEx Ground,,3/22/2026,,,,,26.8,LB,26.8,LB,1,,,,FEDEX ENVELOPE,,,,,,Kristin Jones,Carter Inc,3866 James Avenue Apt. 519,,Roybury,WY,79226,US,Barker Group,Abigail Reyes,80143 Hannah Mall,,Port Brittanyhaven,NC,68894,US,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Surcharge,19.58,Signature Service,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,408308643108,59.73,65.30,FedEx Priority Overnight,,3/27/2026,,,,,29.2,LB,29.2,LB,1,,,,FEDEX ENVELOPE,,,,,,Gregory Sanchez,Hansen and Sons,93846 Andrew Square Apt. 356,,South Haroldville,WV,03013,US,Kemp-Harris,Daniel Ward,6805 Angela Shoals Suite 756,,New Eric,RI,72528,US,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Delivery,5.57,Transportation Charge,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,382327351213,61.79,98.99,FedEx Ground,,3/18/2026,,,,,14.0,LB,14.0,LB,1,,,,FEDEX ENVELOPE,,,,,,James Smith,"Serrano, Duarte and Lewis",469 Spencer Loop,,North Rachael,SC,66266,US,Paul-Mason,Kathy Lopez,7131 Travis Ridges Apt. 228,,Pearsontown,UT,43470,US,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Surcharge,18.18,Transportation Charge,61.79,Address Correction,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,322933855563,139.12,150.25,FedEx Priority Overnight,,3/25/2026,,,,,34.7,LB,34.7,LB,1,,,,FEDEX ENVELOPE,,,,,,Paul Hubbard,Jordan-Smith,787 Terri Drive Apt. 654,,Port Jenniferport,NH,59752,US,Brown-Chen,Jenny Ray,8445 Steven Spurs Suite 173,,Westmouth,CO,01561,US,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation Charge,139.12,Delivery Area Surcharge,4.74,Signature Service,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,117656252983,,34.33,FedEx 2Day,,3/28/2026,,,,,2.3,LB,2.3,LB,1,,,,FEDEX ENVELOPE,,,,,,David Crawford,"Holland, Martin and Watson",27565 Klein Locks Apt. 305,,Ryanchester,OR,30994,US,Murray Inc,Marc Russell,809 Richard Square Suite 084,,Port David,FL,33380,US,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Additional Handling,15.29,Fuel Surcharge,6.65,Signature Service,7.90,Delivery Area Surcharge,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,049909992957,117.40,136.40,FedEx Priority Overnight,,3/5/2026,,,,,19.1,LB,19.1,LB,1,,,,FEDEX ENVELOPE,,,,,,Rachel Gomez,Hawkins and Sons,7619 Phillips Corners Apt. 951,,North William,VT,64079,US,Holland Group,Randall Blake Jr.,0192 Patterson Villages Apt. 630,,Orrchester,OR,22887,US,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Surcharge,19.00,Transportation Charge,117.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196946120,196946120,31-Mar-2026,2684030563,,1894.06,1894.06,,96,412108479874,,33.50,FedEx Priority Overnight,,3/8/2026,,,,,30.4,LB,30.4,LB,1,,,,FEDEX ENVELOPE,,,,,,Sarah Salas,"Davila, Johnson and Pitts",864 Maria Throughway,,Mitchellfort,WA,70591,US,Castro-Franco,Joel Brown,33333 Julie Views Suite 596,,Angelicashire,FM,46151,US,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Delivery,4.86,Address Correction,20.81,Signature Service,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
